date,city,delivery_cost,marketing_cost,refunds_cost
2024-01-14,Bangalore,316647.29,336226.31,34381.42
2024-01-14,Delhi,323416.01,362689.31,49287.79
2024-01-14,Pune,207995.04,226914.78,107805.01
2024-01-14,Hyderabad,143157.6,376758.19,110362.46
2024-01-14,Chennai,377454.96,366467.42,92419.47
2024-01-14,Kolkata,501362.71,141674.42,139763.79
2024-01-15,Mumbai,488974.67,333581.0,36847.29
2024-01-15,Bangalore,598064.67,120297.54,65272.17
2024-01-15,Delhi,481655.5,123428.89,128822.41
2024-01-15,Pune,616757.19,206073.19,133585.41
2024-01-15,Hyderabad,168908.08,403155.4,27129.55
2024-01-15,Chennai,536449.23,405716.43,82377.74
2024-01-15,Kolkata,162957.17,301733.57,122079.94
2024-01-16,Mumbai,628880.8,106809.92,114011.9
2024-01-16,Bangalore,120565.77,104448.94,132256.8
2024-01-16,Delhi,407882.97,339839.82,125881.63
2024-01-16,Pune,488471.91,261324.33,104906.31
2024-01-16,Hyderabad,203088.86,116408.43,86410.5
2024-01-16,Chennai,544797.1,280259.92,122310.74
2024-01-16,Kolkata,400216.87,128907.43,111167.66
2024-01-17,Mumbai,281124.99,127156.74,73833.88
2024-01-17,Bangalore,492302.06,161480.34,70609.21
2024-01-17,Delhi,311155.35,143606.57,75472.34
2024-01-17,Pune,227087.77,182300.16,153559.53
2024-01-17,Hyderabad,454324.8,93925.87,141349.77
2024-01-17,Chennai,272878.57,345021.92,75813.43
2024-01-17,Kolkata,507374.37,218771.64,141934.53
2024-01-18,Mumbai,208746.9,271345.02,55107.57
2024-01-18,Bangalore,646793.35,106143.99,108814.62
2024-01-18,Delhi,211031.18,85956.44,135346.41
2024-01-18,Pune,366586.74,175668.49,78065.54
2024-01-18,Hyderabad,207443.32,388339.92,58198.67
2024-01-18,Chennai,141810.24,394445.23,28295.72
2024-01-18,Kolkata,352782.76,334600.53,86275.56
2024-01-19,Mumbai,533182.87,112968.22,105666.59
2024-01-19,Bangalore,510414.95,172944.05,106675.55
2024-01-19,Delhi,419381.02,333524.69,29310.43
2024-01-19,Pune,208910.92,195304.43,110307.42
2024-01-19,Hyderabad,342213.0,242567.28,99502.5
2024-01-19,Chennai,129049.69,299501.75,28125.51
2024-01-19,Kolkata,391448.53,152933.34,137553.48
2024-01-20,Mumbai,177711.0,352831.99,49270.99
2024-01-20,Bangalore,148681.24,186110.42,26101.15
2024-01-20,Delhi,307920.97,364771.04,73942.86
2024-01-20,Pune,477825.25,198354.35,121972.24
2024-01-20,Hyderabad,362741.59,403680.95,55832.31
2024-01-20,Chennai,172986.31,171091.52,32145.95
2024-01-20,Kolkata,540580.02,352412.35,80157.95
2024-01-21,Mumbai,468200.97,406748.23,80192.13
2024-01-21,Bangalore,326098.6,88616.2,84366.29
2024-01-21,Delhi,266549.22,171526.08,57597.26
2024-01-21,Pune,484451.59,261247.91,127506.74
2024-01-21,Hyderabad,382138.56,396304.09,83929.38
2024-01-21,Chennai,429762.82,146497.01,159335.56
2024-01-21,Kolkata,138638.2,377052.23,60383.12
2024-01-22,Mumbai,565644.07,203928.48,99679.09
2024-01-22,Bangalore,427289.23,390980.38,138241.73
2024-01-22,Delhi,243176.98,109339.3,154210.16
2024-01-22,Pune,617523.19,105437.21,69529.29
2024-01-22,Hyderabad,221446.79,295956.21,62132.18
2024-01-22,Chennai,427809.49,112608.49,64438.41
2024-01-22,Kolkata,501484.98,176040.07,137108.56
2024-01-23,Mumbai,227007.37,151501.48,90154.11
2024-01-23,Bangalore,165982.49,101806.28,46733.03
2024-01-23,Delhi,151184.32,343707.92,58312.42
2024-01-23,Pune,513684.49,124264.13,69369.96
2024-01-23,Hyderabad,637658.18,261952.85,70795.25
2024-01-23,Chennai,261834.21,230519.73,22920.06
2024-01-23,Kolkata,592207.95,403425.55,121270.17
2024-01-24,Mumbai,395108.39,288884.91,116190.51
2024-01-24,Bangalore,186267.93,312088.7,62463.5
2024-01-24,Delhi,567446.29,318288.2,146252.5
2024-01-24,Pune,388599.06,181530.25,121343.2
2024-01-24,Hyderabad,638077.08,324053.35,16591.77
2024-01-24,Chennai,579625.79,341655.13,52802.28
2024-01-24,Kolkata,332111.04,131917.98,49276.16
2024-01-25,Mumbai,269608.58,150128.96,78830.77
2024-01-25,Bangalore,317368.16,305508.0,41719.77
2024-01-25,Delhi,176464.32,180228.02,24323.99
2024-01-25,Pune,156385.12,167626.43,108676.95
2024-01-25,Hyderabad,256966.29,340265.68,104184.06
2024-01-25,Chennai,167096.45,372618.71,53912.58
2024-01-25,Kolkata,373489.87,369353.68,37130.43
2024-01-26,Mumbai,185707.01,369160.16,54682.75
2024-01-26,Bangalore,400860.19,336398.34,122913.12
2024-01-26,Delhi,464645.15,330299.35,125349.28
2024-01-26,Pune,618329.21,302539.83,92694.54
2024-01-26,Hyderabad,147659.82,244010.09,120964.2
2024-01-26,Chennai,453104.81,184530.83,90097.28
2024-01-26,Kolkata,256641.21,401316.1,91823.09
2024-01-27,Mumbai,599433.27,115619.32,55183.56
2024-01-27,Bangalore,521370.75,331952.21,37689.94
2024-01-27,Delhi,584071.13,112269.2,92404.61
2024-01-27,Pune,607389.87,95317.11,109108.33
2024-01-27,Hyderabad,250585.88,401129.42,61509.19
2024-01-27,Chennai,531095.84,271494.21,153243.41
2024-01-27,Kolkata,458601.1,332325.82,150563.62
2024-01-28,Mumbai,583652.83,101240.55,17392.09
2024-01-28,Bangalore,268747.48,242143.22,54900.88
2024-01-28,Delhi,453039.02,170879.58,99231.05
2024-01-28,Pune,584277.94,205196.73,47073.23
2024-01-28,Hyderabad,247794.38,96062.01,131092.43
2024-01-28,Chennai,370218.6,360640.09,128474.14
2024-01-28,Kolkata,222381.23,397880.66,35136.27
2024-01-29,Mumbai,156314.46,159886.3,37690.66
2024-01-29,Bangalore,274729.43,321406.35,60699.17
2024-01-29,Delhi,388491.26,291267.31,99688.56
2024-01-29,Pune,457364.47,107678.93,140681.34
2024-01-29,Hyderabad,393829.29,204009.12,24847.51
2024-01-29,Chennai,455907.49,408124.21,51198.93
2024-01-29,Kolkata,396497.95,308535.93,150091.91
2024-01-30,Mumbai,638931.4,188955.31,76326.26
2024-01-30,Bangalore,146378.02,317311.43,32766.73
2024-01-30,Delhi,154468.71,121629.8,71023.64
2024-01-30,Pune,415449.55,283757.83,66224.23
2024-01-30,Hyderabad,428708.76,320868.93,158409.35
2024-01-30,Chennai,283526.36,312832.67,99769.37
2024-01-30,Kolkata,520246.97,374482.83,65573.03
2024-01-31,Mumbai,144743.07,294143.99,51270.84
2024-01-31,Bangalore,543319.06,175535.22,100927.36
2024-01-31,Delhi,266644.76,324772.59,107292.53
2024-01-31,Pune,198065.36,262035.19,31726.36
2024-01-31,Hyderabad,502174.38,398704.62,40017.55
2024-01-31,Chennai,311362.18,246270.2,26600.29
2024-01-31,Kolkata,178855.15,183233.61,130523.44
2024-02-01,Mumbai,243256.27,258333.47,45083.16
2024-02-01,Bangalore,382463.09,311176.56,15355.26
2024-02-01,Delhi,423671.14,362016.52,113077.25
2024-02-01,Pune,304654.15,330330.88,108322.67
2024-02-01,Hyderabad,475973.61,347320.9,97447.55
2024-02-01,Chennai,499172.46,287124.31,20418.26
2024-02-01,Kolkata,154868.92,406963.63,92701.35
2024-02-02,Mumbai,357775.6,285433.06,97212.99
2024-02-02,Bangalore,191116.14,94302.75,109768.24
2024-02-02,Delhi,558494.61,216725.42,65664.21
2024-02-02,Pune,294028.41,213812.38,90658.73
2024-02-02,Hyderabad,147542.28,405927.07,141487.15
2024-02-02,Chennai,344460.87,83211.1,103354.76
2024-02-02,Kolkata,179567.13,272194.52,82536.67
2024-02-03,Mumbai,638927.05,287468.99,115022.73
2024-02-03,Bangalore,499180.52,371643.77,61215.29
2024-02-03,Delhi,222435.72,152979.21,119126.71
2024-02-03,Pune,647260.26,360902.81,119649.57
2024-02-03,Hyderabad,538220.11,202499.3,111834.94
2024-02-03,Chennai,151909.5,151639.54,70394.41
2024-02-03,Kolkata,364234.64,397691.9,101217.82
2024-02-04,Mumbai,583147.27,376670.18,54316.37
2024-02-04,Bangalore,376967.95,213999.25,141023.23
2024-02-04,Delhi,340291.31,301578.28,71224.47
2024-02-04,Pune,615481.53,170754.73,157268.23
2024-02-04,Hyderabad,243624.44,393201.32,96222.23
2024-02-04,Chennai,544026.91,334236.79,53609.4
2024-02-04,Kolkata,204066.99,324292.4,112718.43
2024-02-05,Mumbai,224040.65,182002.86,88351.85
2024-02-05,Bangalore,360681.92,210704.01,17827.31
2024-02-05,Delhi,438961.0,222594.11,152600.28
2024-02-05,Pune,242639.11,231948.99,81723.87
2024-02-05,Hyderabad,371136.96,194799.23,143234.77
2024-02-05,Chennai,444458.02,258152.35,92044.75
2024-02-05,Kolkata,340528.68,315549.34,37293.56
2024-02-06,Mumbai,426407.96,356245.07,159615.08
2024-02-06,Bangalore,383748.7,147490.95,145448.14
2024-02-06,Delhi,189409.13,391855.2,142323.45
2024-02-06,Pune,405845.17,255156.58,155983.4
2024-02-06,Hyderabad,153702.8,413230.14,59561.36
2024-02-06,Chennai,401156.28,102821.37,142828.8
2024-02-06,Kolkata,381513.55,191115.77,53090.57
2024-02-07,Mumbai,411628.37,243388.97,17272.08
2024-02-07,Bangalore,484513.53,337801.36,67367.44
2024-02-07,Delhi,164264.17,136808.1,34542.18
2024-02-07,Pune,140084.6,310163.47,87508.57
2024-02-07,Hyderabad,389693.66,84440.65,106451.52
2024-02-07,Chennai,263576.79,340848.65,70414.06
2024-02-07,Kolkata,550565.72,137923.33,61036.45
2024-02-08,Mumbai,623693.61,139451.52,86491.92
2024-02-08,Bangalore,301617.93,374986.38,65419.94
2024-02-08,Delhi,395251.56,184201.07,95511.92
2024-02-08,Pune,363029.19,91141.67,63907.47
2024-02-08,Hyderabad,414850.13,379674.22,113263.73
2024-02-08,Chennai,333700.56,107518.8,43732.64
2024-02-08,Kolkata,156521.13,192158.31,123844.78
2024-02-09,Mumbai,520626.75,298132.52,65430.11
2024-02-09,Bangalore,549565.92,209761.09,46718.5
2024-02-09,Delhi,243970.97,382093.75,59542.52
2024-02-09,Pune,455981.18,279557.35,109625.39
2024-02-09,Hyderabad,373715.81,192972.36,18938.38
2024-02-09,Chennai,291066.55,236101.0,74368.2
2024-02-09,Kolkata,123145.51,158466.64,108046.7
2024-02-10,Mumbai,621982.2,381896.67,77569.58
2024-02-10,Bangalore,367181.51,330761.39,78365.18
2024-02-10,Delhi,181564.29,153411.94,72440.7
2024-02-10,Pune,174298.8,166106.68,138121.91
2024-02-10,Hyderabad,403174.01,92931.13,27548.7
2024-02-10,Chennai,218927.79,230967.37,119919.75
2024-02-10,Kolkata,131180.04,370421.6,87950.81
2024-02-11,Mumbai,516776.36,362370.17,18450.84
2024-02-11,Bangalore,312348.02,172850.06,101156.16
2024-02-11,Delhi,421127.44,263029.49,48047.38
2024-02-11,Pune,422028.93,174100.23,26554.43
2024-02-11,Hyderabad,257302.7,364522.31,120550.77
2024-02-11,Chennai,277593.81,118566.65,93472.61
2024-02-11,Kolkata,341044.94,380981.28,113570.15
2024-02-12,Mumbai,453928.23,190027.36,60183.09
2024-02-12,Bangalore,523421.62,255735.63,43715.53
2024-02-12,Delhi,244533.29,107642.33,54995.52
2024-02-12,Pune,477783.57,418137.89,57629.61
2024-02-12,Hyderabad,526568.93,350676.46,121833.38
2024-02-12,Chennai,182778.58,91709.48,29628.09
2024-02-12,Kolkata,558653.09,274003.9,131008.01
2024-02-13,Mumbai,604212.42,397610.42,148216.01
2024-02-13,Bangalore,184912.14,290452.2,58406.27
2024-02-13,Delhi,571747.07,199109.02,123060.33
2024-02-13,Pune,257634.85,293020.14,106048.52
2024-02-13,Hyderabad,232093.91,229019.1,40472.23
2024-02-13,Chennai,644404.94,211662.34,67081.47
2024-02-13,Kolkata,180858.01,274599.79,73784.86
2024-02-14,Mumbai,478032.04,149292.96,95457.62
2024-02-14,Bangalore,569518.49,324091.62,42501.04
2024-02-14,Delhi,649076.13,297494.01,73630.59
2024-02-14,Pune,185417.12,412481.34,76845.88
2024-02-14,Hyderabad,487839.15,167875.63,90689.46
2024-02-14,Chennai,424456.39,330503.38,129914.33
2024-02-14,Kolkata,358526.29,293739.81,136862.97
2024-02-15,Mumbai,400036.57,276226.77,35500.26
2024-02-15,Bangalore,364600.38,222237.17,66508.89
2024-02-15,Delhi,256391.69,313445.87,116805.19
2024-02-15,Pune,588156.49,356028.72,36678.27
2024-02-15,Hyderabad,425289.37,401960.83,143222.8
2024-02-15,Chennai,147731.24,291615.04,151517.52
2024-02-15,Kolkata,356337.0,247349.73,97648.35
2024-02-16,Mumbai,408155.31,200777.19,112289.86
2024-02-16,Bangalore,392118.9,220512.12,150493.65
2024-02-16,Delhi,608585.25,142885.62,149285.6
2024-02-16,Pune,628643.06,315376.66,134288.42
2024-02-16,Hyderabad,157939.71,392492.33,122056.76
2024-02-16,Chennai,467061.21,112212.17,19723.69
2024-02-16,Kolkata,125626.96,274826.64,74222.43
2024-02-17,Mumbai,442945.82,97449.73,20268.28
2024-02-17,Bangalore,405754.9,363381.86,65460.58
2024-02-17,Delhi,488656.33,274124.2,27633.01
2024-02-17,Pune,583726.32,356282.6,19354.77
2024-02-17,Hyderabad,161900.71,318047.73,94222.1
2024-02-17,Chennai,637231.15,320915.33,111990.74
2024-02-17,Kolkata,267136.06,233291.9,140375.55
2024-02-18,Mumbai,139190.92,384185.08,136438.16
2024-02-18,Bangalore,596947.82,320806.3,39013.0
2024-02-18,Delhi,125054.07,111955.4,93059.98
2024-02-18,Pune,122896.5,335202.29,16934.62
2024-02-18,Hyderabad,497658.85,340195.41,115753.75
2024-02-18,Chennai,562126.92,210375.28,157557.71
2024-02-18,Kolkata,382633.4,214687.41,139323.48
2024-02-19,Mumbai,161573.53,120375.77,63950.12
2024-02-19,Bangalore,618869.44,127526.82,152925.11
2024-02-19,Delhi,386791.02,184139.99,137056.8
2024-02-19,Pune,231656.28,414849.24,108138.29
2024-02-19,Hyderabad,156940.05,242625.68,86693.22
2024-02-19,Chennai,434569.35,395426.9,118191.01
2024-02-19,Kolkata,344044.31,226812.79,113565.93
2024-02-20,Mumbai,506013.17,394067.48,58338.16
2024-02-20,Bangalore,569291.9,225289.34,28358.84
2024-02-20,Delhi,357302.79,403306.2,61492.17
2024-02-20,Pune,390858.99,356514.96,30909.06
2024-02-20,Hyderabad,313651.18,150090.18,55894.67
2024-02-20,Chennai,557619.75,334345.24,15924.01
2024-02-20,Kolkata,596490.1,326235.51,91459.07
2024-02-21,Mumbai,287706.08,146082.85,51209.64
2024-02-21,Bangalore,399040.71,292395.16,73158.52
2024-02-21,Delhi,172247.87,352413.88,78063.52
2024-02-21,Pune,367396.02,385901.43,63639.37
2024-02-21,Hyderabad,553522.92,257711.71,49683.17
2024-02-21,Chennai,543243.7,271771.44,39730.26
2024-02-21,Kolkata,530297.43,294258.07,149201.02
2024-02-22,Mumbai,333183.8,248037.12,121071.84
2024-02-22,Bangalore,372408.12,211456.17,53611.66
2024-02-22,Delhi,167760.11,93757.94,57071.0
2024-02-22,Pune,446429.84,414447.33,68158.55
2024-02-22,Hyderabad,248076.82,314231.65,134733.32
2024-02-22,Chennai,552618.57,403801.04,57417.94
2024-02-22,Kolkata,553717.62,250079.88,135381.37
2024-02-23,Mumbai,143923.61,176036.8,83955.24
2024-02-23,Bangalore,644692.24,414225.05,67483.72
2024-02-23,Delhi,336339.93,255663.78,148025.86
2024-02-23,Pune,457576.19,384720.77,154621.06
2024-02-23,Hyderabad,463053.5,391427.1,129602.04
2024-02-23,Chennai,431802.95,176909.51,82490.98
2024-02-23,Kolkata,568619.89,351379.44,68620.29
2024-02-24,Mumbai,296885.03,139043.9,150343.55
2024-02-24,Bangalore,372574.28,250368.05,94474.68
2024-02-24,Delhi,633605.11,347355.22,72811.81
2024-02-24,Pune,481614.27,218165.65,92404.72
2024-02-24,Hyderabad,414255.5,214317.48,21480.24
2024-02-24,Chennai,608738.7,318996.11,115300.93
2024-02-24,Kolkata,525234.7,258572.52,38049.89
2024-02-25,Mumbai,608962.08,359469.38,109338.52
2024-02-25,Bangalore,379907.63,388210.99,38354.97
2024-02-25,Delhi,540368.37,349827.87,29296.62
2024-02-25,Pune,317938.59,272812.53,127963.42
2024-02-25,Hyderabad,345652.57,120995.1,91741.63
2024-02-25,Chennai,610983.79,258873.28,108251.83
2024-02-25,Kolkata,640241.94,366707.9,80498.48
2024-02-26,Mumbai,501205.16,89880.09,40074.93
2024-02-26,Bangalore,615772.51,286801.05,102663.78
2024-02-26,Delhi,206204.26,411920.06,80408.36
2024-02-26,Pune,266672.81,290628.06,39951.51
2024-02-26,Hyderabad,192918.62,201952.08,53103.11
2024-02-26,Chennai,447832.41,279559.53,56566.3
2024-02-26,Kolkata,632197.56,386838.32,56702.35
2024-02-27,Mumbai,279106.86,364836.49,125275.33
2024-02-27,Bangalore,493622.57,174054.4,72425.45
2024-02-27,Delhi,635502.21,386853.24,124425.66
2024-02-27,Pune,362485.6,393536.82,95423.04
2024-02-27,Hyderabad,198045.23,186313.65,135366.94
2024-02-27,Chennai,367163.19,136842.07,22019.45
2024-02-27,Kolkata,645850.66,406730.99,60171.55
2024-02-28,Mumbai,351887.07,220539.66,40267.13
2024-02-28,Bangalore,435830.34,382911.97,24819.46
2024-02-28,Delhi,624423.56,330957.74,40478.81
2024-02-28,Pune,523201.91,235238.0,60548.13
2024-02-28,Hyderabad,495521.87,182687.3,148270.1
2024-02-28,Chennai,471789.43,203689.04,148659.01
2024-02-28,Kolkata,278569.22,339764.75,148254.07
2024-02-29,Mumbai,649944.43,273623.14,126816.41
2024-02-29,Bangalore,163557.42,192862.9,75593.3
2024-02-29,Delhi,445058.57,374994.53,114319.51
2024-02-29,Pune,486343.14,148624.58,157293.12
2024-02-29,Hyderabad,576447.81,222355.44,71084.38
2024-02-29,Chennai,456298.59,209671.07,124826.62
2024-02-29,Kolkata,155338.92,103746.32,113307.05
2024-03-01,Mumbai,157984.15,372382.94,28671.5
2024-03-01,Bangalore,153517.71,130287.81,67179.95
2024-03-01,Delhi,434296.09,294210.11,92171.87
2024-03-01,Pune,165052.25,259595.89,78036.01
2024-03-01,Hyderabad,494263.66,82561.3,127887.28
2024-03-01,Chennai,562785.34,121625.41,91575.21
2024-03-01,Kolkata,499064.23,92808.02,138895.16
2024-03-02,Mumbai,468296.77,85146.91,71615.33
2024-03-02,Bangalore,414405.79,123425.93,100517.77
2024-03-02,Delhi,465476.06,153746.63,145239.75
2024-03-02,Pune,444477.64,249449.41,118272.86
2024-03-02,Hyderabad,266260.2,138570.99,120452.68
2024-03-02,Chennai,430049.1,408482.02,56563.53
2024-03-02,Kolkata,350963.09,381782.68,107740.49
2024-03-03,Mumbai,466739.24,125335.02,109876.59
2024-03-03,Bangalore,368547.57,399444.89,68515.91
2024-03-03,Delhi,303077.02,292105.45,32575.51
2024-03-03,Pune,381920.91,250422.8,146332.42
2024-03-03,Hyderabad,459903.07,111985.78,52974.5
2024-03-03,Chennai,614417.89,218805.34,111668.75
2024-03-03,Kolkata,135167.56,113457.81,57169.25
2024-03-04,Mumbai,180343.94,240337.83,91357.77
2024-03-04,Bangalore,175984.61,165575.67,100175.52
2024-03-04,Delhi,134808.22,252162.89,47371.17
2024-03-04,Pune,561593.67,115454.94,70250.49
2024-03-04,Hyderabad,598831.53,190077.71,132885.01
2024-03-04,Chennai,268173.68,321648.16,32686.29
2024-03-04,Kolkata,276280.6,275978.79,131183.57
2024-03-05,Mumbai,218597.35,159577.87,89973.61
2024-03-05,Bangalore,394343.47,129254.35,120202.36
2024-03-05,Delhi,619818.61,321089.1,153815.08
2024-03-05,Pune,364837.92,189914.45,61459.63
2024-03-05,Hyderabad,174177.57,303590.75,106851.51
2024-03-05,Chennai,408441.87,366557.04,33744.51
2024-03-05,Kolkata,522490.8,210345.93,129889.87
2024-03-06,Mumbai,215296.67,309512.11,21715.54
2024-03-06,Bangalore,362220.83,171575.39,126505.98
2024-03-06,Delhi,601205.85,194673.72,140804.66
2024-03-06,Pune,491370.01,383407.1,65785.76
2024-03-06,Hyderabad,278348.23,391911.38,70582.48
2024-03-06,Chennai,355783.34,268766.26,16067.41
2024-03-06,Kolkata,471281.78,329390.43,74808.26
2024-03-07,Mumbai,168719.34,360670.58,79331.84
2024-03-07,Bangalore,511406.34,83724.91,83339.74
2024-03-07,Delhi,214590.36,418988.97,132945.53
2024-03-07,Pune,186507.43,106718.4,157761.52
2024-03-07,Hyderabad,394044.61,240837.79,141699.29
2024-03-07,Chennai,311258.48,130147.87,27999.0
2024-03-07,Kolkata,412180.3,396888.6,102063.02
2024-03-08,Mumbai,454405.79,81588.33,142575.75
2024-03-08,Bangalore,563280.49,292016.18,47543.54
2024-03-08,Delhi,343782.52,407861.7,31767.99
2024-03-08,Pune,544951.27,154526.23,143354.16
2024-03-08,Hyderabad,320736.96,254562.77,25454.11
2024-03-08,Chennai,230745.75,360712.87,17216.48
2024-03-08,Kolkata,540954.49,197185.39,116708.4
2024-03-09,Mumbai,546154.77,388950.46,124464.99
2024-03-09,Bangalore,181727.37,129876.82,59032.39
2024-03-09,Delhi,383909.57,388474.21,133658.02
2024-03-09,Pune,388428.37,103517.97,125437.34
2024-03-09,Hyderabad,289713.58,312868.71,20859.07
2024-03-09,Chennai,123026.67,185224.3,34159.47
2024-03-09,Kolkata,181240.45,90028.63,111214.96
2024-03-10,Mumbai,486842.94,411938.58,83983.07
2024-03-10,Bangalore,643792.32,326374.4,49151.51
2024-03-10,Delhi,592153.62,359432.94,124100.98
2024-03-10,Pune,333628.8,227837.9,52452.54
2024-03-10,Hyderabad,123209.9,289442.09,38369.12
2024-03-10,Chennai,595225.06,384500.47,130259.61
2024-03-10,Kolkata,208005.87,93589.64,155944.57
2024-03-11,Mumbai,550891.0,335694.29,55707.3
2024-03-11,Bangalore,577719.3,415838.69,39177.41
2024-03-11,Delhi,617411.63,129615.47,133931.21
2024-03-11,Pune,474109.06,396117.62,114172.29
2024-03-11,Hyderabad,409207.72,330024.01,43360.18
2024-03-11,Chennai,648489.4,94143.38,141238.87
2024-03-11,Kolkata,529230.15,309871.05,146150.19
2024-03-12,Mumbai,537287.55,81574.74,152773.85
2024-03-12,Bangalore,606329.81,235399.86,153847.13
2024-03-12,Delhi,643786.11,369319.77,58821.75
2024-03-12,Pune,579687.28,273222.6,46541.54
2024-03-12,Hyderabad,188449.16,92350.27,35712.48
2024-03-12,Chennai,269549.91,185701.61,157651.04
2024-03-12,Kolkata,647184.78,360056.9,68897.69
2024-03-13,Mumbai,304448.29,409345.95,56076.65
