ticket_id,customer_id,issue_type,resolution_time_hrs,compensation_amount
101,87017,Late Delivery,69.4,200
102,39578,Missing Item,8.9,0
103,45237,Late Delivery,70.5,0
104,10464,Late Delivery,24.2,50
105,71371,Missing Item,20.7,300
106,20278,Payment Issue,38.7,0
107,96099,Wrong Item,23.3,0
108,104016,Missing Item,14.6,0
109,22018,Missing Item,40.5,0
110,85462,Late Delivery,34.5,50
111,51481,Late Delivery,51.6,0
112,105391,Late Delivery,33.2,0
113,92836,Late Delivery,40.3,100
114,10338,Late Delivery,43.1,0
115,71757,Late Delivery,58.9,0
116,70432,Missing Item,40.9,300
117,38536,Late Delivery,36.0,0
118,37982,Wrong Item,68.6,0
119,115575,Wrong Item,22.3,200
120,57047,Wrong Item,54.8,0
121,74809,Late Delivery,8.7,50
122,51707,Wrong Item,28.4,50
123,13501,Wrong Item,13.7,50
124,14920,Late Delivery,67.1,0
125,45780,Payment Issue,24.9,0
126,119729,Missing Item,65.1,100
127,43662,Missing Item,56.6,0
128,78039,Missing Item,42.6,100
129,70919,Late Delivery,52.3,0
130,47409,Missing Item,35.0,50
131,958,Missing Item,29.1,0
132,82163,Late Delivery,58.1,0
133,113674,Missing Item,61.2,50
134,69659,Late Delivery,16.2,300
135,76235,Late Delivery,56.0,100
136,89129,Late Delivery,52.8,0
137,25195,Late Delivery,39.4,200
138,115434,Missing Item,18.2,0
139,119710,Missing Item,71.1,0
140,24977,Payment Issue,31.2,0
141,36130,Late Delivery,1.1,0
142,112514,Late Delivery,22.9,50
143,103612,Wrong Item,28.5,0
144,97665,Missing Item,10.2,50
145,19892,Late Delivery,67.3,200
146,29054,Wrong Item,45.0,0
147,49967,Late Delivery,36.2,0
148,42935,Wrong Item,57.5,0
149,3703,Late Delivery,67.5,0
150,1058,Wrong Item,69.9,100
151,108627,Wrong Item,66.9,300
152,60634,Wrong Item,54.2,100
153,115227,Late Delivery,10.1,0
154,8899,Late Delivery,11.2,100
155,73371,Late Delivery,15.0,0
156,58964,Late Delivery,63.5,0
157,115347,Wrong Item,57.1,0
158,83392,Late Delivery,10.2,300
159,109172,Missing Item,19.8,50
160,65116,Wrong Item,54.4,200
161,23801,Late Delivery,67.1,0
162,90212,Late Delivery,4.5,0
163,36892,Late Delivery,63.6,0
164,74114,Late Delivery,53.5,50
165,65289,Late Delivery,26.0,100
166,103991,Wrong Item,41.6,100
167,104507,Wrong Item,2.6,50
168,62710,Late Delivery,30.3,0
169,44969,Payment Issue,6.9,0
170,94472,Late Delivery,7.4,0
171,23667,Wrong Item,39.2,0
172,44462,Missing Item,30.3,50
173,30185,Wrong Item,37.7,0
174,32185,Payment Issue,71.1,0
175,35164,Late Delivery,50.8,50
176,49802,Wrong Item,67.3,0
177,49583,Late Delivery,6.9,50
178,64587,Late Delivery,54.5,0
179,88216,Late Delivery,54.5,0
180,117668,Late Delivery,65.5,0
181,6460,Late Delivery,60.5,100
182,11340,Missing Item,2.4,0
183,94789,Missing Item,24.7,50
184,57285,Payment Issue,44.6,0
185,65743,Wrong Item,48.4,50
186,48086,Wrong Item,23.4,100
187,27655,Late Delivery,61.1,50
188,40140,Wrong Item,8.7,0
189,14975,Wrong Item,13.9,0
190,61560,Wrong Item,59.9,50
191,54737,Wrong Item,35.9,0
192,59084,Payment Issue,15.6,0
193,64570,Wrong Item,31.6,50
194,72979,Payment Issue,24.2,50
195,4748,Wrong Item,28.9,50
196,10757,Late Delivery,69.0,0
197,54797,Wrong Item,63.3,0
198,32942,Missing Item,6.0,0
199,107200,Late Delivery,54.4,0
200,117665,Late Delivery,48.0,0
201,42707,Late Delivery,36.7,200
202,11615,Late Delivery,44.2,50
203,95216,Late Delivery,64.5,0
204,100778,Late Delivery,1.0,0
205,47276,Late Delivery,4.2,100
206,52449,Late Delivery,12.3,0
207,107981,Wrong Item,65.2,300
208,16277,Payment Issue,61.8,0
209,87736,Missing Item,47.8,0
210,77671,Late Delivery,24.8,0
211,52582,Wrong Item,33.6,0
212,118738,Late Delivery,48.1,0
213,83983,Late Delivery,2.7,50
214,76255,Late Delivery,56.0,0
215,17830,Wrong Item,69.7,50
216,44080,Late Delivery,26.6,0
217,109680,Late Delivery,59.7,50
218,54729,Wrong Item,38.1,50
219,119388,Wrong Item,45.5,0
220,101869,Wrong Item,19.8,0
221,111161,Missing Item,18.9,50
222,20783,Missing Item,64.7,0
223,97940,Late Delivery,25.8,0
224,38235,Wrong Item,14.4,300
225,107350,Missing Item,1.2,100
226,27791,Missing Item,43.3,0
227,66062,Wrong Item,22.1,0
228,54774,Late Delivery,24.8,0
229,38685,Missing Item,15.3,200
230,93538,Missing Item,50.0,0
231,46598,Missing Item,19.1,100
232,45497,Missing Item,33.9,100
233,104513,Wrong Item,44.4,50
234,111874,Late Delivery,62.7,0
235,22594,Late Delivery,69.8,50
236,109048,Late Delivery,42.0,0
237,39703,Late Delivery,4.7,0
238,47650,Late Delivery,43.3,0
239,77046,Wrong Item,61.4,0
240,22987,Wrong Item,44.2,100
241,18213,Wrong Item,50.9,300
242,104919,Late Delivery,39.1,0
243,1766,Late Delivery,25.6,0
244,66809,Late Delivery,2.9,0
245,68202,Missing Item,72.0,200
246,99318,Late Delivery,49.9,0
247,97968,Missing Item,51.3,50
248,57150,Late Delivery,42.9,0
249,76417,Payment Issue,43.1,100
250,110047,Late Delivery,37.8,50
251,100688,Wrong Item,26.3,0
252,78870,Wrong Item,24.3,0
253,107063,Missing Item,46.6,200
254,46254,Wrong Item,15.6,0
255,98390,Late Delivery,55.4,300
256,15647,Late Delivery,14.1,0
257,38964,Late Delivery,12.9,200
258,19911,Late Delivery,3.8,0
259,88039,Wrong Item,7.2,50
260,98024,Payment Issue,64.4,50
261,87722,Missing Item,50.6,0
262,71959,Late Delivery,45.0,100
263,45309,Wrong Item,71.3,0
264,49490,Payment Issue,51.9,50
265,66628,Payment Issue,1.0,200
266,69908,Payment Issue,66.7,0
267,5829,Payment Issue,5.4,300
268,27724,Wrong Item,45.6,100
269,68725,Late Delivery,50.8,0
270,84711,Missing Item,10.3,0
271,67910,Late Delivery,22.9,0
272,53722,Late Delivery,22.0,300
273,108549,Wrong Item,29.0,100
274,64736,Payment Issue,15.8,0
275,38855,Late Delivery,40.0,0
276,36828,Late Delivery,26.0,0
277,14198,Wrong Item,53.1,0
278,98945,Wrong Item,30.5,50
279,48654,Missing Item,72.0,100
280,102389,Missing Item,27.1,0
281,117008,Missing Item,26.2,100
282,31228,Wrong Item,36.0,0
283,48332,Wrong Item,53.7,200
284,98260,Missing Item,5.0,100
285,57693,Missing Item,35.0,100
286,4989,Wrong Item,55.3,0
287,99070,Wrong Item,51.7,200
288,44531,Late Delivery,62.1,50
289,82232,Missing Item,6.8,50
290,99212,Payment Issue,28.8,50
291,65434,Payment Issue,41.1,0
292,38677,Missing Item,70.7,0
293,45914,Wrong Item,11.1,50
294,85474,Missing Item,25.8,200
295,81371,Missing Item,34.3,0
296,32021,Missing Item,28.1,0
297,105599,Missing Item,61.7,200
298,24866,Late Delivery,52.0,50
299,20849,Missing Item,58.1,300
300,91833,Payment Issue,65.3,50
301,79252,Wrong Item,70.5,200
302,20210,Late Delivery,41.7,0
303,44891,Missing Item,48.9,50
304,112051,Wrong Item,5.7,100
305,85711,Late Delivery,50.9,100
306,101841,Late Delivery,54.5,0
307,26093,Missing Item,59.8,0
308,23241,Late Delivery,34.8,100
309,40335,Wrong Item,51.0,0
310,9763,Late Delivery,50.8,100
311,116068,Wrong Item,29.1,50
312,68257,Wrong Item,20.0,200
313,48686,Wrong Item,19.7,100
314,61441,Wrong Item,57.2,0
315,45279,Late Delivery,16.4,0
316,87087,Wrong Item,19.6,50
317,73604,Missing Item,48.7,50
318,84071,Late Delivery,4.9,50
319,45358,Late Delivery,43.4,100
320,77262,Wrong Item,6.7,50
321,33012,Late Delivery,21.3,50
322,80530,Late Delivery,57.9,0
323,36216,Late Delivery,4.9,100
324,47802,Late Delivery,53.9,100
325,102745,Wrong Item,10.7,0
326,101613,Late Delivery,30.4,100
327,107620,Late Delivery,62.0,0
328,89939,Payment Issue,51.6,0
329,15518,Wrong Item,47.9,50
330,75926,Wrong Item,26.7,300
331,56203,Payment Issue,17.2,50
332,70020,Payment Issue,20.4,0
333,75255,Payment Issue,19.5,50
334,30290,Missing Item,10.5,0
335,6159,Late Delivery,36.3,0
336,109500,Late Delivery,10.9,100
337,45668,Late Delivery,38.2,50
338,14113,Wrong Item,30.0,100
339,75317,Wrong Item,20.0,0
340,102936,Wrong Item,28.5,50
341,36861,Missing Item,6.8,200
342,100502,Missing Item,47.7,50
343,45776,Wrong Item,49.9,50
344,6893,Missing Item,56.9,200
345,93278,Late Delivery,27.4,50
346,44376,Late Delivery,56.7,50
347,87417,Late Delivery,25.8,0
348,83013,Payment Issue,20.7,100
349,24705,Wrong Item,59.0,0
350,6188,Missing Item,49.8,50
351,91317,Late Delivery,36.0,100
352,1227,Late Delivery,57.1,50
353,112808,Wrong Item,57.1,200
354,81289,Late Delivery,52.7,50
355,44293,Missing Item,35.0,0
356,64800,Wrong Item,64.4,0
357,37290,Payment Issue,11.0,0
358,77499,Wrong Item,11.9,50
359,107184,Late Delivery,64.2,200
360,43416,Late Delivery,39.0,50
361,90260,Late Delivery,47.3,50
362,23887,Late Delivery,40.7,0
363,31036,Wrong Item,63.5,0
364,70857,Late Delivery,51.9,0
365,92710,Late Delivery,42.8,0
366,62982,Late Delivery,20.9,0
367,90159,Late Delivery,18.3,100
368,19542,Late Delivery,65.3,0
369,3045,Wrong Item,37.0,0
370,85239,Wrong Item,44.5,0
371,107955,Late Delivery,18.7,50
372,66910,Wrong Item,3.1,100
373,65153,Payment Issue,12.2,200
374,102129,Wrong Item,23.2,50
375,30737,Payment Issue,57.1,0
376,81606,Wrong Item,68.0,100
377,92249,Late Delivery,19.8,0
378,112095,Payment Issue,69.2,0
379,107428,Wrong Item,30.9,0
380,94434,Late Delivery,48.2,50
381,82667,Late Delivery,52.7,100
382,83645,Late Delivery,48.7,0
383,111203,Wrong Item,26.2,50
384,107928,Late Delivery,26.1,0
385,104506,Late Delivery,20.4,0
386,10,Late Delivery,40.2,50
387,65189,Late Delivery,52.0,0
388,63924,Late Delivery,45.6,0
389,5552,Missing Item,17.6,50
390,83443,Late Delivery,44.6,100
391,41285,Wrong Item,58.5,50
392,53166,Late Delivery,44.4,200
393,6662,Wrong Item,28.9,200
394,50352,Late Delivery,27.3,0
395,95541,Missing Item,53.6,0
396,116328,Late Delivery,19.1,50
397,61706,Late Delivery,12.5,0
398,100121,Wrong Item,11.8,50
399,54646,Wrong Item,37.3,50
400,46020,Wrong Item,12.1,50
401,23376,Missing Item,44.6,0
402,59094,Payment Issue,4.4,0
403,86845,Payment Issue,71.6,100
404,67001,Late Delivery,16.8,100
405,67757,Wrong Item,67.5,200
406,13841,Wrong Item,38.5,100
407,88504,Missing Item,29.7,100
408,72139,Wrong Item,66.6,100
409,6050,Late Delivery,55.2,50
410,8999,Wrong Item,18.7,0
411,39539,Missing Item,53.3,0
412,59808,Late Delivery,61.9,100
413,31432,Late Delivery,64.4,100
414,707,Late Delivery,65.5,0
415,27706,Late Delivery,30.6,0
416,7014,Wrong Item,14.6,200
417,69810,Wrong Item,22.3,100
418,118511,Late Delivery,7.0,300
419,81317,Wrong Item,36.0,50
420,36047,Late Delivery,6.2,50
421,43855,Payment Issue,3.2,50
422,102954,Wrong Item,11.6,0
423,31324,Wrong Item,42.0,100
424,105008,Late Delivery,41.6,100
425,25193,Late Delivery,58.4,300
426,15800,Late Delivery,55.6,0
427,37764,Missing Item,18.7,0
428,86404,Late Delivery,23.1,200
429,112827,Missing Item,52.4,0
430,17261,Late Delivery,37.9,200
431,48131,Wrong Item,64.7,300
432,33512,Wrong Item,43.3,200
433,116605,Wrong Item,56.2,0
434,92458,Late Delivery,30.1,200
435,61223,Late Delivery,42.5,100
436,58625,Late Delivery,35.6,50
437,100459,Missing Item,8.0,100
438,78068,Payment Issue,8.6,0
439,82010,Late Delivery,10.4,50
440,69598,Missing Item,21.1,0
441,104514,Missing Item,25.2,50
442,48267,Wrong Item,0.7,0
443,77757,Missing Item,49.2,0
444,75627,Wrong Item,26.6,0
445,91519,Payment Issue,0.6,0
446,91736,Wrong Item,15.8,0
447,20757,Late Delivery,30.5,50
448,63893,Missing Item,31.7,0
449,35188,Late Delivery,52.1,200
450,28058,Late Delivery,70.5,0
451,88898,Late Delivery,69.0,0
452,30729,Missing Item,23.0,0
453,116200,Missing Item,15.1,0
454,75585,Wrong Item,38.4,100
455,75358,Late Delivery,2.6,200
456,32948,Late Delivery,37.1,0
457,35491,Late Delivery,42.3,200
458,109104,Payment Issue,21.3,100
459,20525,Late Delivery,69.5,0
460,40732,Late Delivery,4.5,50
461,49636,Late Delivery,69.6,100
462,68742,Missing Item,2.0,0
463,60500,Payment Issue,71.2,50
464,32808,Late Delivery,22.1,0
465,4016,Late Delivery,33.2,0
466,3774,Late Delivery,43.0,100
467,9235,Late Delivery,35.2,50
468,90247,Late Delivery,42.3,300
469,52094,Late Delivery,66.0,0
470,71259,Late Delivery,34.6,0
471,78500,Wrong Item,57.3,200
472,75996,Payment Issue,62.8,200
473,90999,Wrong Item,43.7,0
474,32195,Late Delivery,46.5,0
475,32372,Wrong Item,41.0,0
476,119553,Missing Item,39.3,0
477,95540,Wrong Item,12.4,0
478,92889,Late Delivery,11.0,50
479,53362,Late Delivery,12.7,100
480,97326,Late Delivery,3.1,0
481,81282,Late Delivery,39.9,50
482,112784,Late Delivery,29.4,100
483,91526,Late Delivery,64.6,0
484,21818,Missing Item,36.1,100
485,117663,Payment Issue,45.7,0
486,14078,Wrong Item,58.1,0
487,62413,Wrong Item,35.7,0
488,68618,Late Delivery,47.7,50
489,84221,Missing Item,11.5,0
490,108364,Late Delivery,3.5,50
491,6458,Late Delivery,4.5,50
492,24849,Late Delivery,11.6,300
493,9630,Late Delivery,55.9,0
494,32396,Wrong Item,34.9,50
495,45309,Late Delivery,47.2,0
496,17712,Late Delivery,34.8,50
497,3539,Late Delivery,51.0,0
498,22517,Payment Issue,64.6,0
499,31012,Late Delivery,63.1,0
500,45327,Wrong Item,57.0,100
501,83140,Payment Issue,26.5,50
502,81616,Late Delivery,13.4,200
503,21024,Payment Issue,64.5,100
504,64742,Late Delivery,56.9,300
505,53485,Missing Item,18.7,100
506,92344,Late Delivery,0.7,50
507,24581,Payment Issue,51.9,0
508,84526,Late Delivery,40.1,200
509,43646,Late Delivery,46.1,0
510,61968,Late Delivery,17.9,0
511,105782,Late Delivery,1.4,100
512,113648,Payment Issue,13.8,200
513,94045,Late Delivery,39.5,100
514,7179,Late Delivery,61.1,50
515,37902,Wrong Item,35.0,0
516,105963,Wrong Item,58.1,50
517,44336,Missing Item,34.9,0
518,34248,Wrong Item,63.1,0
519,78167,Missing Item,71.2,0
520,62589,Missing Item,64.1,300
521,26306,Late Delivery,7.3,50
522,66643,Wrong Item,57.4,0
523,7540,Missing Item,38.1,0
524,41148,Wrong Item,24.4,0
525,25470,Late Delivery,17.8,0
526,62992,Late Delivery,9.1,50
527,18132,Wrong Item,66.8,0
528,56980,Payment Issue,21.7,0
529,109146,Late Delivery,49.2,100
530,41034,Late Delivery,17.2,0
531,9691,Late Delivery,70.7,50
532,56605,Payment Issue,44.7,0
533,53482,Missing Item,8.9,0
534,18287,Missing Item,65.7,0
535,29282,Late Delivery,67.4,0
536,51551,Wrong Item,47.2,50
537,21062,Late Delivery,67.7,0
538,73422,Payment Issue,29.7,0
539,116803,Late Delivery,43.4,0
540,62802,Late Delivery,9.7,0
541,36441,Late Delivery,3.4,0
542,21091,Wrong Item,14.9,50
543,69694,Payment Issue,22.7,0
544,82505,Late Delivery,47.3,0
545,92044,Payment Issue,8.0,0
546,87572,Wrong Item,14.6,200
547,101223,Wrong Item,20.4,0
548,40057,Wrong Item,45.7,50
549,96187,Late Delivery,40.7,100
550,102498,Missing Item,47.5,100
551,38832,Missing Item,51.7,50
552,8511,Late Delivery,31.1,0
553,18130,Late Delivery,12.6,50
554,114477,Missing Item,44.5,0
555,90487,Late Delivery,1.6,100
556,52584,Late Delivery,30.4,100
557,51757,Late Delivery,42.1,100
558,25013,Wrong Item,14.9,50
559,41999,Late Delivery,44.9,50
560,30628,Late Delivery,8.1,0
561,6489,Payment Issue,13.8,0
562,119279,Late Delivery,14.7,0
563,66397,Missing Item,53.3,0
564,71070,Payment Issue,62.4,0
565,79298,Payment Issue,37.1,0
566,93707,Late Delivery,54.5,200
567,10076,Late Delivery,5.0,0
568,54571,Missing Item,18.5,300
569,5454,Missing Item,23.9,0
570,45859,Wrong Item,69.2,0
571,28128,Late Delivery,2.4,300
572,111341,Late Delivery,4.0,100
573,103000,Wrong Item,27.5,0
574,49075,Late Delivery,35.5,0
575,22467,Payment Issue,26.4,0
576,16669,Missing Item,11.9,0
577,62141,Wrong Item,18.6,0
578,116653,Missing Item,17.2,50
579,18782,Late Delivery,59.5,0
580,119941,Payment Issue,36.4,0
581,76126,Late Delivery,45.9,50
582,30394,Late Delivery,64.3,0
583,30388,Late Delivery,17.8,0
584,116871,Late Delivery,24.3,0
585,115308,Payment Issue,37.2,0
586,27290,Payment Issue,70.7,100
587,29602,Missing Item,46.1,100
588,59720,Late Delivery,37.5,100
589,23323,Late Delivery,53.8,0
590,52359,Late Delivery,29.3,100
591,24587,Late Delivery,41.7,50
592,67339,Late Delivery,39.6,0
593,49198,Late Delivery,6.1,0
594,26620,Late Delivery,9.3,50
595,97111,Late Delivery,33.9,200
596,45188,Wrong Item,8.7,50
597,36243,Missing Item,48.8,0
598,38989,Late Delivery,9.6,0
599,94227,Wrong Item,5.1,0
600,31031,Late Delivery,71.3,100
601,52267,Late Delivery,42.9,50
602,61308,Late Delivery,35.6,0
603,61021,Wrong Item,0.7,100
604,53402,Wrong Item,24.3,200
605,55781,Payment Issue,42.9,50
606,96021,Late Delivery,16.6,100
607,62288,Wrong Item,64.1,0
608,40526,Missing Item,10.4,0
609,78715,Wrong Item,64.9,0
610,102231,Payment Issue,17.5,50
611,16341,Late Delivery,43.2,0
612,103442,Late Delivery,63.3,0
613,57694,Wrong Item,56.8,0
614,26546,Late Delivery,34.8,100
615,12470,Late Delivery,43.4,100
616,8262,Late Delivery,40.9,200
617,105784,Late Delivery,67.4,0
618,68516,Payment Issue,9.6,200
619,32487,Wrong Item,63.4,300
620,30397,Payment Issue,12.6,0
621,28283,Late Delivery,47.0,0
622,16517,Late Delivery,26.0,50
623,6535,Wrong Item,46.0,300
624,37299,Wrong Item,2.1,0
625,47624,Missing Item,42.8,200
626,75361,Late Delivery,11.6,0
627,74187,Late Delivery,27.6,0
628,30352,Payment Issue,60.5,50
629,49203,Missing Item,61.3,0
630,62616,Late Delivery,28.6,0
631,98156,Missing Item,25.8,100
632,63203,Late Delivery,68.6,50
633,17676,Payment Issue,33.9,50
634,9548,Missing Item,18.0,100
635,101159,Late Delivery,26.0,0
636,102958,Missing Item,39.6,50
637,106451,Missing Item,1.1,0
638,45921,Late Delivery,34.5,0
639,39691,Late Delivery,46.7,0
640,101587,Late Delivery,70.4,0
641,53296,Late Delivery,51.4,200
642,46050,Wrong Item,67.0,0
643,87451,Wrong Item,49.9,200
644,44048,Late Delivery,18.9,0
645,101229,Late Delivery,17.4,50
646,28325,Wrong Item,40.4,0
647,100059,Late Delivery,65.2,200
648,113869,Late Delivery,67.9,300
649,72377,Missing Item,1.5,0
650,20804,Late Delivery,65.4,0
651,52366,Wrong Item,28.1,0
652,71369,Late Delivery,26.9,0
653,21764,Wrong Item,23.1,0
654,11713,Late Delivery,17.2,100
655,86274,Wrong Item,55.3,0
656,34154,Wrong Item,45.7,0
657,93903,Wrong Item,27.8,200
658,80059,Wrong Item,21.0,0
659,43394,Late Delivery,24.8,0
660,101044,Wrong Item,13.6,0
661,70906,Wrong Item,37.0,0
662,28625,Late Delivery,14.9,50
663,20029,Late Delivery,43.9,0
664,81180,Payment Issue,53.3,0
665,96801,Payment Issue,49.8,0
666,117703,Late Delivery,32.3,0
667,95392,Wrong Item,40.6,200
668,49089,Late Delivery,5.7,300
669,51696,Missing Item,64.6,100
670,85027,Missing Item,18.8,300
671,35768,Wrong Item,13.8,0
672,100021,Late Delivery,38.0,100
673,68364,Late Delivery,20.7,200
674,41960,Late Delivery,30.9,0
675,101726,Late Delivery,29.3,0
676,66339,Payment Issue,67.4,50
677,99058,Late Delivery,5.5,50
678,112210,Late Delivery,15.0,0
679,69433,Wrong Item,37.6,0
680,94911,Missing Item,10.4,100
681,90847,Wrong Item,22.4,0
682,78590,Late Delivery,3.3,50
683,55080,Late Delivery,19.9,0
684,71606,Wrong Item,9.9,0
685,100020,Missing Item,24.7,100
686,15658,Missing Item,32.0,100
687,34937,Late Delivery,45.4,0
688,96343,Missing Item,17.9,50
689,89216,Late Delivery,42.0,0
690,116708,Late Delivery,29.0,0
691,104445,Late Delivery,59.9,0
692,43821,Payment Issue,37.1,0
693,101677,Wrong Item,53.7,0
694,18451,Late Delivery,31.1,100
695,11041,Payment Issue,11.3,0
696,69059,Wrong Item,46.4,50
697,111642,Late Delivery,52.6,100
698,38864,Late Delivery,15.2,0
699,10449,Missing Item,13.4,200
700,81292,Payment Issue,51.8,50
701,117211,Missing Item,46.5,50
702,39995,Missing Item,9.7,0
703,36421,Wrong Item,17.2,100
704,41739,Late Delivery,10.6,100
705,89818,Late Delivery,27.4,50
706,3735,Wrong Item,22.6,50
707,119997,Late Delivery,39.7,100
708,57560,Late Delivery,65.5,50
709,117897,Missing Item,45.8,50
710,78343,Late Delivery,47.2,0
711,97555,Wrong Item,10.0,50
712,62209,Wrong Item,27.9,0
713,59111,Late Delivery,65.2,0
714,10912,Wrong Item,63.3,200
715,25123,Late Delivery,36.7,50
716,850,Missing Item,18.5,50
717,46134,Missing Item,46.8,0
718,88427,Wrong Item,51.0,200
719,39448,Missing Item,58.7,0
720,116428,Wrong Item,32.5,0
721,77337,Late Delivery,6.1,0
722,36378,Late Delivery,29.2,0
723,24258,Missing Item,24.0,0
724,68728,Missing Item,58.1,0
725,109102,Missing Item,59.2,50
726,107113,Missing Item,19.5,300
727,25142,Late Delivery,25.5,0
728,111787,Missing Item,15.7,50
729,119546,Late Delivery,9.4,0
730,99793,Missing Item,51.5,0
731,39409,Wrong Item,3.6,0
732,104617,Missing Item,53.6,0
733,97101,Missing Item,4.3,0
734,41418,Late Delivery,25.9,300
735,72810,Late Delivery,3.7,0
736,7200,Late Delivery,13.4,0
737,8008,Wrong Item,68.6,0
738,67034,Wrong Item,30.3,300
739,51373,Missing Item,63.1,100
740,26650,Payment Issue,54.5,0
741,27089,Wrong Item,71.7,0
742,31566,Missing Item,58.2,0
743,56917,Late Delivery,71.7,50
744,72007,Late Delivery,14.2,50
745,46574,Missing Item,53.5,0
746,94534,Late Delivery,37.8,0
747,68243,Late Delivery,52.8,0
748,66612,Late Delivery,14.7,0
749,29438,Wrong Item,22.8,100
750,58564,Late Delivery,63.1,0
751,64946,Wrong Item,51.0,0
752,60820,Payment Issue,43.6,50
753,104999,Late Delivery,57.4,0
754,80888,Late Delivery,65.4,0
755,49743,Late Delivery,16.9,100
756,88023,Payment Issue,34.4,100
757,48688,Late Delivery,12.6,50
758,64876,Missing Item,7.8,50
759,41496,Wrong Item,67.9,50
760,7770,Late Delivery,24.3,0
761,32088,Wrong Item,66.9,200
762,38358,Missing Item,48.6,50
763,368,Late Delivery,41.8,0
764,67124,Late Delivery,43.3,0
765,65166,Late Delivery,19.8,200
766,75952,Wrong Item,70.0,0
767,97933,Payment Issue,18.0,50
768,13606,Late Delivery,30.1,100
769,45309,Missing Item,71.7,50
770,34838,Wrong Item,52.8,0
771,33154,Missing Item,17.6,0
772,90689,Wrong Item,13.4,50
773,40422,Payment Issue,37.6,0
774,34114,Missing Item,62.8,0
775,111848,Wrong Item,12.1,0
776,41835,Late Delivery,35.8,50
777,15527,Missing Item,60.0,50
778,74934,Late Delivery,51.3,50
779,99546,Late Delivery,21.4,0
780,34901,Late Delivery,17.0,200
781,17165,Payment Issue,36.2,0
782,83091,Late Delivery,20.0,100
